measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2017,0.00512101628,0.02209438621,-0.00167842388
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2017,0.0040879793700000005,0.01838596361,-0.0012346198700000002
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2018,0.0099695750752223,0.0435703998491637,-0.0032147398392133
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2018,0.0072534132579423,0.0331037641853113,-0.0020948602843584
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2018,0.0009401254650433,0.0036076375220847,-0.0002912706053459
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2018,0.001256752230914,0.0055185691672156,-0.0003507021200755
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2018,0.0049502554999999995,0.02163428329,-0.00159623489
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2018,0.004093815440000001,0.01868371428,-0.00118233597
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2019,0.0098303920809512,0.0436305554167337,-0.0032386293260058
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2019,0.0073484325680778,0.0351847737465646,-0.0019972541854018
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2019,0.0009369912448767,0.0034864262171959,-0.0002916816887825
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2019,0.0012465192363697,0.0055668973447807,-0.0003403714462146
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2019,0.00490152455,0.02175459907,-0.00161481058
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2019,0.00411693304,0.01971214354,-0.00111895451
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2020,0.0096527400456349,0.0426909201655131,-0.0033230196727745
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2020,0.0074077647169651,0.0369898826336533,-0.0018950324013329
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2020,0.0009270593115223,0.0036594621312112,-0.0002893588172574
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2020,0.0012689904271914,0.0057790660594167,-0.0003417854210203
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2020,0.00478083315,0.02114406534,-0.00164583347
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2020,0.00409490527,0.02044747249,-0.00104754652
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2021,0.0095243149803858,0.0413220387391703,-0.0033623449687925
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,1,Number,2021,0.0072583839450865,0.0366725624900426,-0.001949134239261
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2021,0.0009129899918256,0.003808018264539,-0.0002973075506625
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,2,Percent,2021,0.0012314241465823,0.0057710347827112,-0.0003377908632299
1,Deaths,146,Lebanon,1,Male,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2021,0.00466157855,0.020224649190000003,-0.00164566535
1,Deaths,146,Lebanon,2,Female,8,15-19 years,410,Neoplasms,89,Other environmental risks,3,Rate,2021,0.00394768588,0.0199454532,-0.00106009406
1,Deaths,146,Lebanon,1,Male,11,30-34 years,410,Neoplasms,99,Smoking,1,Number,2000,1.1049217242132832,1.5397568499471033,0.7873640154312871
1,Deaths,146,Lebanon,2,Female,11,30-34 years,410,Neoplasms,99,Smoking,1,Number,2000,0.6837914545882593,1.029968256423448,0.4064757265133569
1,Deaths,146,Lebanon,1,Male,11,30-34 years,410,Neoplasms,99,Smoking,2,Percent,2000,0.0826770449933387,0.1083823419951342,0.0597789404490105
1,Deaths,146,Lebanon,2,Female,11,30-34 years,410,Neoplasms,99,Smoking,2,Percent,2000,0.0362294194597825,0.053157028398507,0.0218618514868558
1,Deaths,146,Lebanon,1,Male,11,30-34 years,410,Neoplasms,99,Smoking,3,Rate,2000,0.9718735016600001,1.35434832049,0.692554238
1,Deaths,146,Lebanon,2,Female,11,30-34 years,410,Neoplasms,99,Smoking,3,Rate,2000,0.5270185619000001,0.79382739527,0.3132830213
1,Deaths,146,Lebanon,1,Male,11,30-34 years,410,Neoplasms,99,Smoking,1,Number,2001,1.1047133780433958,1.5326702625019748,0.7916565659585555
1,Deaths,146,Lebanon,2,Female,11,30-34 years,410,Neoplasms,99,Smoking,1,Number,2001,0.6667620151720453,1.0104468923666632,0.4079800744422073
1,Deaths,146,Lebanon,1,Male,11,30-34 years,410,Neoplasms,99,Smoking,2,Percent,2001,0.0822836919444806,0.1077280321875576,0.0597200111876058
1,Deaths,146,Lebanon,2,Female,11,30-34 years,410,Neoplasms,99,Smoking,2,Percent,2001,0.0360289527086716,0.0517504381597659,0.0228910954323943
1,Deaths,146,Lebanon,1,Male,11,30-34 years,410,Neoplasms,99,Smoking,3,Rate,2001,0.94644034327,1.31308355469,0.67823539293
1,Deaths,146,Lebanon,2,Female,11,30-34 years,410,Neoplasms,99,Smoking,3,Rate,2001,0.50777998756,0.76951700721,0.31070173827
1,Deaths,146,Lebanon,1,Male,11,30-34 years,410,Neoplasms,99,Smoking,1,Number,2002,1.1135321829826748,1.534118761904403,0.7911274500985832
1,Deaths,146,Lebanon,2,Female,11,30-34 years,410,Neoplasms,99,Smoking,1,Number,2002,0.6507617152786703,0.9789293552274968,0.4055528246004219
1,Deaths,146,Lebanon,1,Male,11,30-34 years,410,Neoplasms,99,Smoking,2,Percent,2002,0.0817254416928253,0.1056660940120813,0.0584045775080744
1,Deaths,146,Lebanon,2,Female,11,30-34 years,410,Neoplasms,99,Smoking,2,Percent,2002,0.0357240898237535,0.0518453600683819,0.0232535543549022
1,Deaths,146,Lebanon,1,Male,11,30-34 years,410,Neoplasms,99,Smoking,3,Rate,2002,0.92751491343,1.2778418553,0.6589683887000001
1,Deaths,146,Lebanon,2,Female,11,30-34 years,410,Neoplasms,99,Smoking,3,Rate,2002,0.48692574572,0.7324737997299999,0.30345072076999996
1,Deaths,146,Lebanon,1,Male,11,30-34 years,410,Neoplasms,99,Smoking,1,Number,2003,1.1087744335501153,1.5141397615435732,0.7726244921854564
1,Deaths,146,Lebanon,2,Female,11,30-34 years,410,Neoplasms,99,Smoking,1,Number,2003,0.6486404291449795,0.9690620384439116,0.4154239653232279
1,Deaths,146,Lebanon,1,Male,11,30-34 years,410,Neoplasms,99,Smoking,2,Percent,2003,0.0811672993540717,0.1053785705301562,0.0590076441126418
1,Deaths,146,Lebanon,2,Female,11,30-34 years,410,Neoplasms,99,Smoking,2,Percent,2003,0.0355668141240064,0.0504552887595056,0.0235316457234146
