Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Haiti,2021,All ages,Both,Neoplasms,"Deaths per 100,000",82.89898841296346,61.50155207587484,105.28319944174034
Hungary,2021,All ages,Both,Neoplasms,"Deaths per 100,000",334.5924703575296,292.8336374549574,377.5888731211485
Indonesia,2021,All ages,Both,Neoplasms,"Deaths per 100,000",81.55396752224425,63.31720785635174,98.03781439152546
India,2021,All ages,Both,Neoplasms,"Deaths per 100,000",60.43538819877211,55.14995355223,66.13848525412365
Ireland,2021,All ages,Both,Neoplasms,"Deaths per 100,000",186.43320906378682,167.37850417373986,198.90725574981772
Iran (Islamic Republic of),2021,All ages,Both,Neoplasms,"Deaths per 100,000",67.87888614387792,58.64717049707731,73.4651388598528
Iraq,2021,All ages,Both,Neoplasms,"Deaths per 100,000",52.07389416015106,40.20352200330795,63.84051675009188
Iceland,2021,All ages,Both,Neoplasms,"Deaths per 100,000",203.33945000606982,177.1876717737861,223.36672814300974
Israel,2021,All ages,Both,Neoplasms,"Deaths per 100,000",141.1341782303606,124.60871269968278,150.63207803744046
Italy,2021,All ages,Both,Neoplasms,"Deaths per 100,000",315.5217753853212,275.4727362158615,336.065899457229
Jamaica,2021,All ages,Both,Neoplasms,"Deaths per 100,000",148.02778749295223,116.33067339483928,190.73150339966114
Jordan,2021,All ages,Both,Neoplasms,"Deaths per 100,000",40.09251289116376,31.941852761355726,49.42395648996739
Japan,2021,All ages,Both,Neoplasms,"Deaths per 100,000",363.4911064957293,307.27413190491046,393.7259568528511
Kazakhstan,2021,All ages,Both,Neoplasms,"Deaths per 100,000",91.47938565655552,80.73829820529936,101.87252257071468
Kenya,2021,All ages,Both,Neoplasms,"Deaths per 100,000",44.368366296367114,36.61326629683094,53.01115769222979
Kyrgyzstan,2021,All ages,Both,Neoplasms,"Deaths per 100,000",62.43833024826427,52.96332129707217,73.39564809940904
Cambodia,2021,All ages,Both,Neoplasms,"Deaths per 100,000",86.3743589444729,67.5943891400165,107.49317414584536
Kiribati,2021,All ages,Both,Neoplasms,"Deaths per 100,000",76.9299067503787,60.23196802050722,97.19589445553957
Saint Kitts and Nevis,2021,All ages,Both,Neoplasms,"Deaths per 100,000",155.63935939722492,130.9956227956781,178.1369105002984
Republic of Korea,2021,All ages,Both,Neoplasms,"Deaths per 100,000",194.02209988674875,171.68569554937505,208.46714602121034
Kuwait,2021,All ages,Both,Neoplasms,"Deaths per 100,000",33.00088712382525,27.795575796778557,38.95471520915021
Lao People's Democratic Republic,2021,All ages,Both,Neoplasms,"Deaths per 100,000",65.7145569233545,50.149448643591626,82.0591943937134
Lebanon,2021,All ages,Both,Neoplasms,"Deaths per 100,000",122.95188236133016,103.94963068586316,144.57738509472466
Liberia,2021,All ages,Both,Neoplasms,"Deaths per 100,000",38.142390917381455,27.3009373960384,51.689931906169875
Libya,2021,All ages,Both,Neoplasms,"Deaths per 100,000",96.52967891093004,75.47465369204407,125.78508370530731
Saint Lucia,2021,All ages,Both,Neoplasms,"Deaths per 100,000",178.54878850296538,149.60751903182282,210.64679177687108
Sri Lanka,2021,All ages,Both,Neoplasms,"Deaths per 100,000",70.58218374071208,48.10367644796663,93.76617779243777
Lesotho,2021,All ages,Both,Neoplasms,"Deaths per 100,000",108.47248449372613,81.75681842575582,136.96976716894164
Lithuania,2021,All ages,Both,Neoplasms,"Deaths per 100,000",302.52956686675174,265.8443965756455,336.67884652600105
Luxembourg,2021,All ages,Both,Neoplasms,"Deaths per 100,000",201.74656030939073,181.55393391219673,219.6242050281944
Latvia,2021,All ages,Both,Neoplasms,"Deaths per 100,000",306.58238290632573,271.80824694418993,340.0329450499585
Morocco,2021,All ages,Both,Neoplasms,"Deaths per 100,000",53.03328469468601,40.67339706698426,63.744048949960074
Monaco,2021,All ages,Both,Neoplasms,"Deaths per 100,000",542.7738694769384,452.424242701721,640.008151525796
Republic of Moldova,2021,All ages,Both,Neoplasms,"Deaths per 100,000",184.5897679849009,167.84284922619102,203.26144240306476
Madagascar,2021,All ages,Both,Neoplasms,"Deaths per 100,000",40.93296774882127,31.468714085489676,52.62130354033021
Maldives,2021,All ages,Both,Neoplasms,"Deaths per 100,000",29.981235652751426,24.75860429288617,35.225629591424045
Mexico,2021,All ages,Both,Neoplasms,"Deaths per 100,000",84.54785678621376,74.91589631573696,93.96536725679866
Marshall Islands,2021,All ages,Both,Neoplasms,"Deaths per 100,000",79.13782706919774,59.771222184435885,99.92776138180608
North Macedonia,2021,All ages,Both,Neoplasms,"Deaths per 100,000",227.17992333348536,191.53132042357103,265.7134930598352
Mali,2021,All ages,Both,Neoplasms,"Deaths per 100,000",41.27594865517359,33.082169544167414,51.043362976261
Malta,2021,All ages,Both,Neoplasms,"Deaths per 100,000",234.30009539410494,204.95468635290362,257.39055663600095
Myanmar,2021,All ages,Both,Neoplasms,"Deaths per 100,000",78.28456183754102,61.41221983170336,98.0824017216377
Montenegro,2021,All ages,Both,Neoplasms,"Deaths per 100,000",258.37265368998595,225.15023193516174,292.8405091862361
Mongolia,2021,All ages,Both,Neoplasms,"Deaths per 100,000",144.41882981836173,126.8527671731309,163.2378269139706
Northern Mariana Islands,2021,All ages,Both,Neoplasms,"Deaths per 100,000",146.05404035818418,127.74116719445666,155.44107036312883
Mozambique,2021,All ages,Both,Neoplasms,"Deaths per 100,000",47.40357603695475,34.669932870438,61.45410152429853
Mauritania,2021,All ages,Both,Neoplasms,"Deaths per 100,000",49.580802429186704,37.4048239998902,64.12569357869464
