Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Portugal,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",49.46602035758257,43.030073034058965,53.65339850578654
Paraguay,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",25.39270514083931,19.633598706824735,31.44465008827458
Palestine,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",9.190503135787104,7.8282991298117155,10.659237171773771
Qatar,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",6.4243049454937555,4.81389874075093,9.02041452116252
Romania,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",80.38053282809064,71.34815224166486,88.88074057107507
Russian Federation,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",70.38660292952115,65.02460533416745,75.78383357926857
Rwanda,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",35.313050287986826,25.559894024754946,52.486401656201735
Saudi Arabia,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",17.96901394937567,13.776509871638972,22.453232478696016
Senegal,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",28.519107033940788,19.54801552447656,37.1736583044249
Singapore,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",8.351640350170234,7.371790762623335,9.018815229939626
Solomon Islands,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",25.300601918414863,19.477264955874933,32.70046333980904
Sierra Leone,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",28.255915030067538,21.48589134887223,36.84335998634365
El Salvador,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",38.753013950899565,30.721203341206138,47.310532812915746
San Marino,2021,All ages,Both,Digestive diseases,"Deaths per 100,000",29.324650812410045,19.564905721981045,39.99699642079004
